,Address,Price,Beds,Baths,Area_Sqft,City,Zipcode,Time_on_Redfin(days),Property Type,Year_built,Community,Lot_Size_Sqft,Est_Monthly_Payt,Est_Redfin_Price,Price/Sq.Ft.,Buyer_Agent_Commission,HOA_Dues,Style
0,"41247 Apricot Ln,Fremont, CA 94539",1999888,4,2,1698,Fremont,94539,5,Single Family Residential,1960,FREMONT,6720,14526,2134398,1178,2,0,Unknown
1,"34116 Pavia Ter,Fremont, CA 94555",1180000,3,3.5,1387,Fremont,94555,1,Condo,2012,ARDENWOOD AREA,39639,8855,1161551,851,2,284,Contemporary
2,"36778 Oak St,Fremont, CA 94536",1499888,3,2,1610,Fremont,94536,1,Single Family Residential,1961,FAIR OAKS,6978,10894,1513958,932,2,0,Ranch
3,"4046 Abbey Ter #113,Fremont, CA 94536",598500,2,2,823,Fremont,94536,1,Condo,1986,CENTRAL PARK,25264,4757,598791,727,2,410,Contemporary
4,"345 Torrano Cmn,Fremont, CA 94536",799888,2,1,1016,Fremont,94536,1,Townhouse,1975,NILES THE TREES,2448,6150,798177,787,2,340,Unknown
5,"3374 Wolcott Cmn,FREMONT, CA 94538",785000,2,2,1280,Fremont,94538,1,Condo,1983,FREMONT,29160,6123,784377,613,2,421,Unknown
6,"37955 Camden St,FREMONT, CA 94536",1100000,3,2,1530,Fremont,94536,1,Single Family Home,1965,FREMONT,6237,8023,1108121,719,2,33,Unknown
7,"3218 Winding Vista Cmn,Fremont, CA 94539",3550000,4,3.5,3442,Fremont,94539,1,Single Family Residential,1999,PONDEROSA HTS,23958,26000,3553718,1031,2,215,Mediterranean
8,"4120 Woodcrest Dr,FREMONT, CA 94538",1399000,3,2,1120,Fremont,94538,2,Single Family Home,1960,FREMONT,5995,10162,1349353,1249,2,0,Unknown
9,"5533 Azalea Way,NEWARK, CA 94560",1279980,4,3.5,2026,Fremont,94560,2,Condo (Co-op),2016,NEWARK,29160,8276,1269155,632,2,312,Unknown
10,"3841 Milton Ter,Fremont, CA 94555",640000,2,2,963,Fremont,94555,2,Condo,1986,NORTHGATE,29160,5009,641093,665,2,360,Contemporary
11,"39034 Guardino Dr #107,FREMONT, CA 94538",475000,1,1,693,Fremont,94538,2,Condo,1990,FREMONT,212572,4007,474910,685,2,557,Contemporary
12,"36635 Montecito Dr,Fremont, CA 94536",1750000,4,2,2052,Fremont,94536,2,Single Family Residential,1967,RANCHO ARROYO,9000,12711,1797735,853,2,0,Traditional
13,"3468 Inspiration Way #303,Fremont, CA 94538",1122164,2,2,1335,Fremont,94538,2,Condo,2023,WARM SPRINGS,29160,8751,1469274,841,3,600,Contemporary
14,"1477 Tolteca Dr,FREMONT, CA 94539",2680000,4,3,2898,Fremont,94539,2,Single Family Home,1978,FREMONT,16117,19466,2698946,925,2,0,Unknown
