,Address,Price,Beds,Baths,Area_Sqft,City,Zipcode,Parking_Size,In_Unit_Aminity_Count,Community_Aminity_Count
0,"Palmia, Aged 55+ Luxury Apartments47207 Mission Falls Ct,Fremont, CA 94539",3020,2,2,927.5,Fremont,94539,1,9,9
1,"Creekside Village2999 Sequoia Ter,Fremont, CA 94536",2551,2,2,775.0,Fremont,94536,1,15,25
2,"Sundale North And South39900 Blacow Rd,Fremont, CA 94538",2250,2,1.5,805.5,Fremont,94538,1,10,12
3,"39993 Fremont Blvd,Fremont, CA 94538",2300,1,1,931.0,Fremont,94538,0,10,2
4,"Pebble Creek Communities40777 High St,Fremont, CA 94538",2430,2,1,774.0,Fremont,94538,1,14,12
5,"Archstone Fremont Center39410 Civic Center Dr,Fremont, CA 94538",2636,3,2,1247.0,Fremont,94538,1,15,14
6,"eaves Fremont231 Woodcreek Cmn,Fremont, CA 94539",2370,2,2,801.0,Fremont,94539,2,11,15
7,"Camden Village38000 Camden St,Fremont, CA 94536",1995,2,1.5,736.5,Fremont,94536,0,17,23
8,"Windsor Garden4425 Bidwell Dr,Fremont, CA 94538",2200,1,1,600.0,Fremont,94538,1,13,12
9,"Ardenwood Forest5016 Paseo Padre Pkwy,Fremont, CA 94555",2250,2,2,719.5,Fremont,94555,2,14,14
10,"Durham Greens Apartments43555 Grimmer Blvd,Fremont, CA 94538",2395,2,2,739.5,Fremont,94538,1,9,17
11,"3532 Braxton Cmn,Fremont, CA 94538",3380,2,2.5,1317.0,Fremont,94538,0,6,3
12,"Oak Pointe Apartments4140 Irvington Ave,Fremont, CA 94538",2985,3,2,1195.0,Fremont,94538,1,10,9
13,"Watermark Place38680 Waterside Cir,Fremont, CA 94536",2503,2,2,990.0,Fremont,94536,1,12,21
14,"Avalon Fremont39939 Stevenson Cmn,Fremont, CA 94538",2322,3,3,1065.0,Fremont,94538,1,2,14
15,"1066 Dolphin Cmn,Fremont, CA 94536",3300,2,2.5,1178.0,Fremont,94536,0,3,2
16,"Carrington Apartments (Fremont)4875 Mowry Ave,Fremont, CA 94538",1980,2,1,784.0,Fremont,94538,1,13,10
17,"Mission Sierra34864 Mission Blvd,Union City, CA 94587",2425,2,2,755.0,Fremont,94587,1,10,15
18,"2348 Kinetic Cmn,Fremont, CA 94539",4500,2,2,1725.0,Fremont,94539,0,9,4
19,"4103 Crestwood St,Fremont, CA 94538",3400,3,1,1008.0,Fremont,94538,0,2,0
20,"3512 Vision Cmn,Fremont, CA 94539",2995,1,1,770.0,Fremont,94539,0,11,4
21,"38232 Luma Ter,Newark, CA 94560",4350,4,3.5,2215.0,Fremont,94560,0,10,2
22,"35523 Dee Pl,Fremont, CA 94536",3999,3,2,1853.0,Fremont,94536,0,10,0
23,"34631 Musk Ter,Fremont, CA 94555",2500,1,1,634.0,Fremont,94555,0,3,1
24,"3597 Dayton Cmn,Fremont, CA 94538",3850,3,2.5,1637.0,Fremont,94538,0,1,1
25,"3252 Red Cedar Ter,Fremont, CA 94536",1920,0,1,421.0,Fremont,94536,0,9,7
26,"43474 Lindenwood St,Fremont, CA 94538",3800,3,2,1600.0,Fremont,94538,0,7,0
27,"3136 Mission View Dr,Fremont, CA 94538",3400,3,1.5,1050.0,Fremont,94538,0,1,1
28,"Alborada Apartments1001 Beethoven Cmn,Fremont, CA 94538",2409,3,3,1129.0,Fremont,94538,1,12,9
29,"Furnished Studio - Fremont - Newark5375 Farwell Pl,Fremont, CA 94536",2580,0,1,300.0,Fremont,94536,1,20,17
30,"Regency Square Apartments4917 Central Ave,Fremont, CA 94536",2300,3,2,844.0,Fremont,94536,2,11,11
31,"37373 Sequoia Rd,Fremont, CA 94536",2590,2,1,750.0,Fremont,94536,0,2,1
32,"Carriage House Apartments3900 Monroe Ave,Fremont, CA 94536",2275,2,1,878.0,Fremont,94536,1,10,9
33,"Furnished Studio - Fremont - Fremont Blvd. South46080 Fremont Blvd,Fremont, CA 94538",2250,0,1,300.0,Fremont,94538,0,11,13
34,"4163 Irvington Ave,Fremont, CA 94538",2650,2,2,859.0,Fremont,94538,0,1,1
35,"36996 Meadowbrook Cmn #202,Fremont, CA 94536",2950,2,2,981.0,Fremont,94536,0,2,2
36,"4909 Roselle Cmn,Fremont, CA 94536",3890,4,3,2054.0,Fremont,94536,0,3,1
37,"36742 Oak St,Fremont, CA 94536",4300,4,2,1725.0,Fremont,94536,0,5,2
38,"4352 Cahill St,Fremont, CA 94538",3650,3,2,1581.0,Fremont,94538,0,2,0
39,"4009 Ralston Cmn Unit 4009,Fremont, CA 94538",3575,3,2,1390.0,Fremont,94538,0,5,2
40,"48934 Ventura Dr,Fremont, CA 94539",5800,4,3,2635.0,Fremont,94539,0,4,1
41,"350 Franciscan Ct,Fremont, CA 94539",1995,1,1,670.0,Fremont,94539,0,0,0
42,"39647 Embarcadero Ter,Fremont, CA 94538",3600,3,2.5,1582.0,Fremont,94538,0,5,0
43,"32990 Lake Wawasee St,Fremont, CA 94555",2800,2,1.5,960.0,Fremont,94555,0,3,0
44,"4789 Hilo St,Fremont, CA 94538",3600,3,2,1532.0,Fremont,94538,0,3,0
45,"3909 Stevenson Blvd #703,Fremont, CA 94538",2100,1,1,677.0,Fremont,94538,0,1,0
46,"37733 Arlene Ct,Fremont, CA 94536",1247256,3,2,1521.0,Fremont,94536,0,0,0
47,"38228 Paseo Padre Pkwy #32,Fremont, CA 94536",2600,2,2.5,934.0,Fremont,94536,0,4,1
48,"4737 Thornton Ave,Fremont, CA 94536",2050,2,1,750.0,Fremont,94536,0,1,0
49,"2280 Camellia Ct,Fremont, CA 94539",4250,3,2,1606.0,Fremont,94539,0,3,1
50,"4636 Victoria Ave,Fremont, CA 94538",3300,3,2,1452.0,Fremont,94538,0,3,1
51,"5579 Ridgewood Dr,Fremont, CA 94555",4095,4,3,2039.0,Fremont,94555,0,3,1
52,"37847 Niles Blvd,Fremont, CA 94536",1750,1,1,700.0,Fremont,94536,0,0,0
53,"35241 Cabrillo Dr,Fremont, CA 94536",3490,3,2,1304.0,Fremont,94536,0,2,0
54,"34525 MELISSA Ter,Fremont, CA 94555",1434479,4,2.5,1552.0,Fremont,94555,0,0,0
55,"34060 Macmillan Way,Fremont, CA 94555",3300,4,2,1474.0,Fremont,94555,0,1,0
56,"4370 Hyde Cmn,Fremont, CA 94538",3890,4,3.5,1738.0,Fremont,94538,0,3,1
57,"37854 Taro Ter,Newark, CA 94560",3700,3,3,1540.0,Fremont,94560,0,2,0
